97603405;Алтышевское
97603410;Атратское
97603415;Ахматовское
97603420;Восходское
97603430;Иваньково-Ленинское
97603438;Кирское
97603440;Кувакинское
97603445;Междуреченское
97603450;Миренское
97603455;Новоайбесинское
97603458;Октябрьское
97603460;Первомайское
97603465;Сойгинское
97603475;Староайбесинское
97603480;Стемасское
97603490;Чуварлейское
97605405;Аликовское
97605415;Большевыльское
97605420;Ефремкасинское
97605425;Илгышевское
97605435;Крымзарайкинское
97605450;Питишевское
97605455;Раскильдинское
97605465;Таутовское
97605470;Тенеевское
97605475;Чувашско-Сорминское
97605485;Шумшевашское
97605490;Яндобинское
97607402;Алманчиковское
97607405;Балабаш-Баишевское
97607410;Батыревское
97607415;Бахтигильдинское
97607420;Бикшикское
97607425;Большечеменевское
97607430;Долгоостровское
97607435;Кзыл-Чишминское
97607440;Новоахпердинское
97607445;Норваш-Шигалинское
97607450;Первомайское
97607452;Сигачинское
97607455;Сугутское
97607460;Тарханское
97607465;Татарско-Сугутское
97607470;Тойсинское
97607472;Туруновское
97607475;Шыгырданское
97607480;Шаймурзинское
97610151;Вурнарское
97610404;Азимсирминское
97610408;Алгазинское
97610412;Апнерское
97610416;Большеторханское
97610420;Большеяушское
97610424;Буртасинское
97610428;Вурманкасинское
97610432;Ермошкинское
97610436;Ершипосинское
97610440;Калининское
97610444;Кольцовское
97610452;Малояушское
97610460;Ойкас-Кибекское
97610468;Санарпосинское
97610472;Сявалкасинское
97610478;Хирпосинское
97610480;Шинерское
97610484;Янгорчинское
97613151;Ибресинское
97613405;Айбечское
97613410;Андреевское
97613415;Березовское
97613420;Большеабакасинское
97613423;Буинское
97613425;Ширтанское
97613430;Кировское
97613435;Климовское
97613440;Малокармалинское
97613445;Новочурашевское
97613450;Хормалинское
97613455;Чувашско-Тимяшское
97616404;Асхвинское
97616406;Атнашевское
97616408;Ачакасинское
97616412;Байгильдинское
97616416;Вутабосинское
97616419;Караклинское
97616420;Кошноруйское
97616424;Малобикшихское
97616428;Малокибечское
97616432;Новоурюмовское
97616436;Новочелкасинское
97616440;Сеспельское
97616444;Среднекибечское
97616448;Сугайкасинское
97616456;Тобурдановское
97616460;Ухманское
97616462;Хучельское
97616464;Чагасьское
97616468;Шакуловское
97616472;Шальтямское
97616474;Шибылгинское
97616476;Шихазанское
97616484;Ямашевское
97616488;Янгличское
97619101;Козловское
97619405;Андреево-Базарское
97619410;Аттиковское
97619415;Байгуловское
97619425;Еметкинское
97619430;Карамышевское
97619435;Карачевское
97619443;Солдыбаевское
97619445;Тюрлеминское
97619450;Янгильдинское
97621405;Александровское
97621410;Альбусь-Сюрбеевское
97621415;Асановское
97621420;Кайнлыкское
97621425;Комсомольское
97621440;Новочелны-Сюрбеевское
97621445;Полевосундырское
97621449;Сюрбей-Токаевское
97621452;Тугаевское
97621455;Урмаевское
97621460;Чичканское
97621465;Шераутское
97624405;Алманчинское
97624410;Большешатьминское
97624420;Исаковское
97624425;Караевское
97624430;Красноармейское
97624434;Пикшикское
97624440;Убеевское
97624445;Чадукасинское
97624460;Яншихово-Челлинское
97626405;Акчикасинское
97626415;Атнарское
97626418;Большеатменское
97626425;Испуханское
97626430;Красночетайское
97626435;Пандиковское
97626440;Питеркинское
97626445;Староатайское
97626450;Хозанкинское
97626455;Штанашское
97629101;Мариинско-Посадское
97629410;Бичуринское
97629415;Карабашское
97629420;Кугеевское
97629425;Приволжское
97629430;Октябрьское
97629435;Первочурашевское
97629440;Сутчевское
97629445;Аксаринское
97629450;Шоршелское
97629460;Эльбарусовское
97629465;Большешигаевское
97632410;Александровское
97632420;Большесундырское
97632425;Ильинское
97632430;Кадикасинское
97632435;Моргаушское
97632440;Москакасинское
97632445;Орининское
97632455;Сятракасинское
97632460;Тораевское
97632463;Хорнойское
97632465;Чуманкасинское
97632470;Шатьмапосинское
97632480;Юнгинское
97632485;Юськасинское
97632488;Ярабайкасинское
97632490;Ярославское
97635405;Анастасовское
97635420;Козловское
97635425;Кудеихинское
97635430;Мишуковское
97635435;Напольновское
97635440;Никулинское
97635445;Октябрьское
97635455;Порецкое
97635465;Семеновское
97635470;Сиявское
97635480;Сыресинское
97635485;Рындинское
97638151;Урмарское
97638405;Арабосинское
97638408;Бишевское
97638410;Большечакинское
97638415;Большеяниковское
97638425;Ковалинское
97638430;Кудеснерское
97638432;Кульгешское
97638435;Мусирминское
97638440;Староурмарское
97638445;Тегешевское
97638450;Челкасинское
97638455;Чубаевское
97638460;Шигалинское
97638462;Шихабыловское
97638465;Шоркистринское
97641101;Цивильское
97641404;Богатыревское
97641408;Первостепановское
97641412;Булдеевское
97641420;Игорварское
97641424;Опытное
97641432;Медикасинское
97641434;Михайловское
97641437;Малоянгорчинское
97641440;Второвурманкасинское
97641444;Поваркасинское
97641448;Рындинское
97641452;Конарское
97641464;Тувсинское
97641468;Таушкасинское
97641475;Чиричкасинское
97641480;Чурачикское
97644404;Абашевское
97644408;Акулевское
97644416;Большекатрасьское
97644420;Вурман-Сюктерское
97644428;Ишакское
97644432;Ишлейское
97644440;Кшаушское
97644442;Кугесьское
97644444;Лапсарское
97644448;Атлашевское
97644452;Сарабакасинское
97644454;Сирмапосинское
97644456;Синьял-Покровское
97644460;Синьяльское
97644482;Чиршкасинское
97644484;Шинерпосинское
97644488;Янышское
97647410;Бичурга-Баишевское
97647417;Большебуяновское
97647422;Карабай-Шемуршинское
97647428;Малобуяновское
97647442;Старочукальское
97647448;Трехбалтаевское
97647455;Чепкас-Никольское
97647460;Чукальское
97647464;Шемуршинское
97650405;Большеалгашинское
97650410;Егоркинское
97650415;Краснооктябрьское
97650420;Магаринское
97650430;Нижнекумашкинское
97650440;Русско-Алгашинское
97650445;Торханское
97650450;Туванское
97650455;Ходарское
97650460;Шумерлинское
97650465;Юманайское
97653101;Ядринское
97653410;Большесундырское
97653415;Большечурашевское
97653420;Большешемердянское
97653425;Иваньковское
97653435;Кильдишевское
97653440;Кукшумское
97653445;Малокарачкинское
97653448;Мочарское
97653450;Николаевское
97653455;Персирланское
97653460;Советское
97653465;Старотиньгешское
97653470;Стрелецкое
97653475;Хочашевское
97653480;Чебаковское
97653485;Ювановское
97653490;Ядринское
97655405;Большетаябинское
97655410;Большеяльчикское
97655415;Кильдюшевское
97655420;Лащ-Таябинское
97655425;Малотаябинское
97655430;Новошимкусское
97655435;Сабанчинское
97655440;Яльчикское
97655445;Янтиковское
97658405;Алдиаровское
97658410;Индырчское
97658415;Можарское
97658420;Новобуяновское
97658425;Турмышское
97658430;Тюмеревское
97658435;Чутеевское
97658440;Шимкусское
97658445;Янтиковское
97658450;Яншихово-Норвашское
